0xCB588FD4, infinityloader
0x48F26766, show
0x241D0EAE, setclientthirdperson
0xFBB5C2E3, phdperk
0x25A6127A, savedangles
0xF461B5D, grenade
0x668D018F, weapname
0x61157892, specgod
0xEDA2BE50, setplayerangles
0xBDCDC423, vectortoangles
0x52FDDBD0, unlink
0x11EE1E64, clone
0x963FD853, cloneplayer
0xD7A0A9D8, startragdoll
0x366BB992, clustergrenadesactive
0x80B30AF5, lastspot
0xE59527C1, getorigin
0xECF27A98, magicgrenadetype
0x7DDF1DCE, getcurrentoffhand
0x67795B5F, setweaponammoclip
0xC0B2188, clipsize
0x5B7E3888, waittill_any
0x82B91A51, util
0x2DAFAB04, 0bogsarraykeyse938f39a-5533-4282-a160-ccf186fdc98f
0xCA775902, weap
0xFE91F994, takeallweapons
0x562A2C6F, dropitem
0x7204DA72, angle
0xC1A733C2, cam
0x6869C73F, camrunning
0xF7477112, playerlinktoabsolute
0xA96A2721, moveto
0xC0B6566F, rotateto
0x92E6FA67, randspawnp
0x26299103, randomint
0x8D8007E7, spawnpoints
0xA30814D, setorigin
0x7730B34C, savelocationangle
0xEBA62AA2, saveloctog
0x2E4B8C78, iprintlnbold
0xFFE880C4, savespawnangle
0xA350481F, savespawntog
0x35940ED8, location
0x37D22DD, z
0x297F9D46, y
0x4F8217AF, x
0xD7434CD4, saveloadbindangle
0x32CC08B9, saveloadbindorigin
0xE57835F5, actionslotthreebuttonpressed
0x7DB80007, actionslotfourbuttonpressed
0xF58807CD, 0bogsarraykeys24959c88-776f-4540-a8dc-0eacd4bfaa20
0x3F7A3F8D, 0bogsindex05cb7ba2-dfff-40bb-a621-eee285d135e1
0x4DBF3AE3, trigger
0x7EDF5CD5, hurttriggers
0x99201F25, getentarray
0xD7001523, savekilltriggersorigin
0xB780F125, 0bogsarraykeys19ae70de-62c8-4049-8669-aacb60a1403c
0x3E62BF19, 0bogsindexb6602e08-f578-4de8-92e7-b959488145f1
0xFB9423CF, zombie
0xC7FCC76B, aimat
0xC20C2E8, getaiarray
0x3E94206A, team
0xF1DF5A1C, ivisible
0x7178C13C, bullettracepassed
0x6409B075, iaim
0x7C08A28, playerads
0x6D40E57F, closer
0xD48F2AB3, gettagorigin
0x6D3625E2, iangles
0x8D33C446, iaimfor
0x7D4A8AF2, isreloading
0xDF991E41, ismantling
0x3BE3CBD1, killfeed
0x65E7235A, idamageplayer
0x79038E42, idist
0x1B6E6804, opt
0xB31A6DDF, tag
0xD6DF1F20, strtok
0x4849430C, botnum
0xF8253A5C, bot
0x478B766B, addtestclient
0x44FB8955, pers
0xE253C4A5, equipment_enabled
0xE0BEB6EE, sessionstate
0x1FEE8319, spawnplayer
0xE8510454, 0bogsarraykeys042e5e0d-6753-4892-90fe-f950606e030b
0x629DA749, 0bogsarraykeys324b578e-2e7e-45ba-859a-9cdc449188b7
0x5055E0A1, 0bogsindex1264a8c5-2af9-429a-870f-2af5a7dfbc5b
0x63757D02, 0bogsarraykeys5e0561ed-32fb-4b20-ac12-1c953543c879
0x47CD1D7D, 0bogsindexf9a7266d-b069-424e-9bd7-90665fca6ebe
0x1C2D42DB, 0bogsarraykeys1dbf7b51-99dd-49ac-9144-0d71e553a820
0xF0931070, 0bogsindex7cc69d52-19ef-4518-8a85-e186c97996d5
0xE1EE3729, 0bogsarraykeys18be5088-877b-4902-9247-5c84b40d5dd5
0x7AC57161, 0bogsindex1e91d144-f48e-449c-85ff-675998eadbf0
0xE8712D9F, 0bogsarraykeys41610116-2956-4976-9e11-2d05e2afcec4
0x6DB68291, 0bogsindex8ff58e8e-af13-4d01-96b0-971e2bab5f85
0x9A432260, 0bogsarraykeys5dc341f6-2af1-47dc-9b71-1e3ebadf1cfe
0x8F277CF8, 0bogsindexad9689fc-ce48-48f7-aab2-a2f2143d9805
0x584B97B7, suicide
0x1BAFBA97, kick
0x8F1754B9, botsfrozen
0xFAF8F736, freezecontrols
0x86365A77, func
0x85E2610A, 0bogsarraykeysd9e34284-28e2-433a-9dc3-c88ce7501359
0x6B365F0F, isfrozen
0xB946095, setrank
0x96EBCB6A, stringindex
0xD007DA9E, speed
0x90C70533, dvarname
0xB40D9490, savegravity
0x9D2F1D78, setmatchflag
0x5A18BA9E, statvalue
0x4259AE32, statname
0xD4CC1345, tablelookup
0xAA67C13B, addplayerstat
0x255B9315, ignoreme
0xA500A39C, ignorme_count
0x750F5C9D, perk
0x88542FCF, hasperk
0x84368297, getdstat
0xCD500241, camo
0x7844B40, calcweaponoptions
0x7620E707, gadgetisactive
0xA0B29C50, gadgetpowerset
0x5C93D934, gadgetpowerget
0x9693E22A, prestige
0xFE722FCF, setstance
0x5FFAC84C, 0bogsarraykeys0ea098c3-b826-41bc-b8a3-e7b0aa376a78
0x29C1AD6B, 0bogsindexdab66128-3c2b-4fd9-86ad-a5cf4c49243a
0xE025DAA7, ishost
0x288FE85A, 0bogsarraykeys1709b750-f79d-4af9-b6bb-fddd5446a4a5
0x4D76DCD0, 0bogsindex19261780-8be2-4487-b5ea-adcc0aae6ae9
0x417A25E0, 0bogsarraykeys616ff349-4178-480d-947c-f581e636594a
0x52E4DC6D, 0bogsindex4b14cfde-6b70-4e55-8177-4f1f598610c2
0x6A973A9D, 0bogsarraykeys889c0cd9-97f2-4dd3-9c8c-f043a50c51c1
0x558A09E4, 0bogsindex24328355-9aea-4695-ac60-368780f25a31
0x2F69B334, 0bogsarraykeys5d6302e7-76ab-443c-99d9-c6548efc7dcf
0x4BA19AAA, 0bogsindex0353522a-ae02-46f4-bc81-9b496594316e
0xE84CC3B8, sessionmodeismultiplayergame
0x58830444, 0bogsarraykeys5c757724-a339-4110-ab7a-90be1d3f1504
0x91805DF9, 0bogsindexb3d068b4-4623-4bdf-bf75-e5bb5b96eaab
0x151FD7E4, isunlockingall
0xB5A221F2, 0bogsarraykeys0034a300-6539-48d0-959f-814e70f7143b
0xA40D2697, 0bogsindexa3fc5f1f-fde4-46d3-9cf1-c52de065f83d
0xB51B0D94, currentweaponxp
0x37B6567C, addrankxp
0x1F4288C0, addweaponstat
0xF9D8A0F, 0bogsarraykeys5b7e974a-1bed-45d9-8924-7b0315197bca
0xF59F275D, 0bogsindex265fe241-3957-49f7-ba59-9b703fcdb8fe
0x8FF2374E, attach
0xB000B0BE, attachment
0x3B5F65F1, f
0x55DFD53D, _maps
0xDDE1AC37, addrankxpvalue
0x8A20E55D, playlocalsound
0xF07412C0, givedecoration
0x3E91B40A, a_decorations
0xE5E45AD4, getdecorations
0x7ADAF57D, map
0xEA861C2E, 0bogsarraykeysb9ddf5d2-c91f-48bf-b9c0-45eaae2f5509
0xE0A5EFDB, 0bogsindex3979f770-89e7-4d54-a2c4-85f4497b7ee1
0xB78F06C4, mapname
0xF1242439, score
0xDCE2DC0D, 0bogsarraykeysb9d30bf3-9fa0-4b9b-b02c-be20fca79406
0xC4972A2, 0bogsindex4038bc45-c258-4e98-95b8-d7d2b0670627
0x9320359D, giveunlocktoken
0x50F16166, register
0xBEA63B8A, system
0xEB99DA89, on_connect
0xDABBE128, callback
0xC61B24C4, on_start_gametype
0x356A4EE1, on_spawned
0x4FCC9411, player_out_of_playable_area_monitor
0x637BAEA8, callbackplayerdamage
0xF1F27D08, callbackplayerkilled
0x769DB7B8, enumerateweapons
0xAE42E42F, _weapons
0xF87B0046, _mapnames
0xB3C5B671, strings
0xD50DB15A, killstreaks
0x5F8BD4B9, menuname
0x5C8C8601, makelocalizedstring
0x237C5A5B, shownnoaccess
0x763A0B18, setblur
0x51E6A548, einflictor
0x3A212FD7, eattacker
0xF9A179ED, idamage
0xBF827987, idflags
0xBA36487D, smeansofdeath
0x88482219, vpoint
0xE8BB43EE, vdir
0xA77AD8EB, shitloc
0x6EB5FC54, vdamageorigin
0xA5CF2304, psoffsettime
0xFAF17161, boneindex
0x7419BA1F, vsurfacenormal
0x3A7EA645, fakedamagefrom
0xB976075A, globallogic_player
0x6E816103, callback_playerdamage
0xA0AD4F34, attacker
0xB2E5F7D2, deathanimduration
0x7E588757, enteredresurrect
0x4C629EF3, callback_playerkilled
0x56DECF6D, 0bogsarraykeys05d85443-6a08-41a8-b41f-81a97bd6a0ce
0x8817402, 0bogsindex51757dd0-6883-4c90-a66b-d38a7d0de395
0xB04E57C9, extra
0xDD26130, extrasnames
0x427468C0, extras
0xEB7E015E, 0bogsarraykeysa9393fe0-cf5f-43f5-a495-c3f14fee2cd6
0x73196278, 0bogsindex84f1ba10-5be0-4337-abad-6526bcd2d091
0x52519A77, weapon_id
0xE0DA7A29, weapon_name
0x11C7BF14, weapon_categ
0xE52B7318, 0bogsarraykeys105c25eb-a82f-412c-bee8-2f271ca64472
0x4DC597C4, 0bogsindex1d65f51f-ea02-4f56-87bd-8fd2914d507b
0x652BF8A3, weapon_types
0x5C22F56, weapnames
0x5E4FE4F9, tablelookupistring
0xA8FB77BD, spawnstruct
0xAFC1125, is_primary_weapon
0x7E589A1E, is_side_arm
0xB82BBE1C, displayname
0x3947A807, row
0xD1439E4F, tablelookuprow
0xD0ABE4F2, substring
0x7E2400EB, replace
0x7671B2AF, final
0xCA755C1C, p1
0xD5EF124, usebuttonpressed
0x66355343, emenu
0x326B7278, p5
0x586DECE1, p4
0x167A50EE, p3
0x3C7CCB57, p2
0xA472E1B3, p6
0x25294CFE, activate
0xE216C11C, visionset_mgr
0xA5218027, deactivate
0x2363DA9C, fontscale
0x53AE4C1F, submenus
0xF6181ACA, settext
0x3D53DA02, menutitle
0xE91405C5, currentmenucolour
0xD900369A, color
0xADD0A810, curs
0x9DA1E4B9, ary
0x4739E2A0, alpha1
0xB94151DB, alpha2
0xD3694F95, b
0x155CEB88, g
0x3390F625, r
0xBA7F003E, fadeovertime
0xFDA3D594, allaccess
0x98E535AF, previousmenu
0x6E12ADE4, 0bogsarraykeys5b593995-0ad9-4dcc-ac02-3aaad6cb64d7
0xE82D3EA9, 0bogsindexbaec8bb0-70a9-43d9-9311-d094e0828d4e
0xA9F4C2C5, title
0x40A873FD, storemenu
0x2E9393AE, option
0xB861723E, shader
0xE7493C8E, desc
0x83253AC2, font
0xEA2F4EFC, align
0x2282BC4D, relative
0x4D19365, sort
0xAABE9F43, alpha
0x8CAA0808, text
0x8B804BD9, islevel
0x31704579, textelem
0x6AADF29C, createserverfontstring
0x724A4794, hud
0x1FA18F5D, createfontstring
0x1E912B73, setpoint
0x5773C805, hidewheninmenu
0x740F6833, archived
0xD0BAE973, width
0xE363B850, height
0x92B9DDEC, server
0xE89651E1, boxelem
0xC49DDE5, newhudelem
0xAD13099A, newclienthudelem
0xF83454EC, elemtype
0x2016892B, splitscreen
0xB0CBC08E, xoffset
0x15DDE6FF, yoffset
0xFC6BD138, children
0x89140677, setparent
0xF9A26FC7, uiparent
0x9BEFB288, setshader
0xBFF506D, hidden
0xF96BC9FE, a
0xF45850EC, getsubstr
0xE22C8CCD, keys
0x391512DA, getarraykeys
0x89CD542D, destroy
0x154F5599, variable
0xAC99A070, alphabet
0x57B2BE45, tolower
0x9B81E487, moveovertime
0x8B98874A, 0bogsarraykeyscedfabf4-275f-4833-b02b-d4e604cc14c9
0x4EF8B8D, colour
